bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Brachyspiraceae	2.12454898784742e-07	6.83336249041096e-08	0.000484194781300668	6.94967259741708e-05	-0.317940396496696	-0.218888240760051	-0.294288909977935	6.9578979352003e-06	2.23792621560959e-06	0.00865306148469495	0.00132192534561709
Thermoanaerobacterales Family IV. Incertae Sedis	2.66417376382222e-07	6.06729460126019e-08	0.0206142472707704	7.3828811967691e-05	-0.302280094058115	-0.134986134626883	-0.279157767015313	8.21192383672261e-06	2.23792621560959e-06	0.0805951016066826	0.00132192534561709
Halanaerobiaceae	4.05061189923117e-07	2.88335507037642e-07	0.000690442623072158	2.59639763869577e-05	-0.310448708010656	-0.219976768677189	-0.324055685070524	1.09533780279225e-05	6.56903502990105e-06	0.0100497759580503	0.000740274751311137
Unclassified Clostridia Class	4.14831317852027e-07	3.17573235977001e-07	0.000598263273819845	2.30950083150009e-05	-0.270238374357924	-0.195362264385088	-0.286945752856642	1.09533780279225e-05	6.93368231883119e-06	0.00945686178324346	0.000719178724904087
Thermoanaerobacterales Family III. Incertae Sedis	4.18067863661165e-07	1.50985845168135e-07	0.000546500671969888	7.56827487948718e-05	-0.266924444209076	-0.188587317820995	-0.255288090144574	1.09533780279225e-05	4.16403067726855e-06	0.00923762426168457	0.00132192534561709
Hydrogenothermaceae	6.68295471850655e-07	4.59079065228769e-06	0.000495404283474902	2.99588069987113e-06	-0.282219636354696	-0.234959161276756	-0.37944667691433	1.66755632023687e-05	3.75870984656055e-05	0.00865306148469495	0.000261640247788745
Bacillaceae	7.91474035644057e-07	1.06121398345854e-06	0.000424715858878971	2.21914029186281e-05	-0.246445291398865	-0.19303306848915	-0.275764394980065	1.77328149057843e-05	1.54273720132365e-05	0.00859296320062645	0.000719178724904087
Aerococcaceae	8.00071914164313e-07	2.38403578656461e-06	0.000127222857457641	1.78290962614287e-05	-0.236537762846879	-0.21100209598713	-0.278801083073476	1.77328149057843e-05	2.3609949340883e-05	0.00389398968460807	0.000719178724904087
Nautiliaceae	8.40469773777386e-07	2.65323100273975e-07	0.0170838548748242	7.27714837756519e-05	-0.31862026222717	-0.155273792429771	-0.310866394951494	1.77328149057843e-05	6.31951384288922e-06	0.0699370308938117	0.00132192534561709
Streptococcaceae	8.46031245504975e-07	4.99651090196757e-07	1.6271513369527e-05	0.00438939549771273	0.521808706475703	0.491789437214372	0.365733743434477	1.77328149057843e-05	9.35061325939646e-06	0.000852627300563213	0.0219051737219188
Methanococcaceae	9.97363235333282e-07	1.77297739571808e-07	0.0035429279927295	0.000234657737014695	-0.296538556422233	-0.175566358969132	-0.262565179889818	1.99927532774852e-05	4.64520077678136e-06	0.0273013862969156	0.00308901706494153
Mycoplasmataceae	1.0301609513208e-06	1.17402631601113e-06	0.00484636463516026	1.41945520000856e-05	-0.297016558871509	-0.184036058206027	-0.342244364976107	1.99927532774852e-05	1.577409716897e-05	0.0340847146152333	0.000719178724904087
Unclassified Bacteriovoracales Order	1.1500433934053e-06	1.75899639823121e-06	2.41719584117684e-05	0.000329675470010925	-0.322842359240833	-0.314789020484809	-0.306367028598118	2.15222406480134e-05	2.04825358371811e-05	0.00115146420070606	0.00354631293306773
